pid,src_dur_s,start_s,end_s,win_dur_s,capped,sr
635,84.5,0.0,84.5,84.5,0,48000
636,981.1,340.55,640.55,300.0001,1,16000
637,714.6001,207.3,507.3,300.0,1,48000
638,88.6,0.0,88.6,88.6,0,16000
640,407.0999,53.55,353.55,300.0,1,48000
641,186.7,0.0,186.7,186.7,0,16000
649,368.0,34.0,334.0,300.0,1,48000
650,418.5,59.25,359.25,300.0,1,16000
651,74.5,0.0,74.5,74.5,0,16000
652,355.4999,27.75,327.75,300.0,1,16000
653,188.8,0.0,188.8,188.8,0,48000
654,143.3999,0.0,143.3999,143.3999,0,16000
655,266.3001,0.0,266.3001,266.3001,0,16000
656,312.4,6.2,306.2,300.0001,1,16000
657,2377.9001,1038.95,1338.95,300.0,1,48000
658,315.5001,7.75,307.75,300.0,1,16000
659,692.3001,196.15,496.15,300.0,1,48000
660,1560.2,630.1,930.1,300.0,1,16000
661,1781.7,740.85,1040.85,300.0,1,48000
662,341.1,20.55,320.55,300.0,1,48000
663,307.2001,3.6,303.6,300.0,1,16000
664,1884.8999,792.45,1092.45,300.0,1,16000
666,628.0999,164.05,464.05,300.0,1,48000
667,1123.7999,411.9,711.9,300.0,1,16000
669,741.2,220.6,520.6,300.0,1,48000
670,168.7,0.0,168.7,168.7,0,16000
673,719.3001,209.65,509.65,300.0,1,16000
676,701.0,200.5,500.5,300.0,1,16000
677,371.5999,35.7999,335.7999,300.0,1,48000
679,2808.3999,1254.2,1554.2,300.0,1,16000
680,753.7999,226.9,526.9,300.0,1,48000
682,143.2,0.0,143.2,143.2,0,16000
683,1901.1,800.55,1100.55,300.0,1,48000
684,322.2999,11.15,311.15,300.0,1,48000
687,1547.2001,623.6,923.6,300.0,1,16000
688,467.3001,83.65,383.65,300.0,1,16000
689,1140.5001,420.25,720.25,300.0,1,48000
691,1974.6997,837.3498,1137.3498,300.0,1,48000
692,146.4999,0.0,146.4999,146.4999,0,48000
693,847.4,273.7,573.7,300.0,1,16000
695,2049.8002,874.9001,1174.9001,300.0,1,48000
696,936.1999,318.1,618.1,300.0,1,16000
697,1631.2001,665.6001,965.6001,300.0,1,48000
698,864.8,282.4,582.4,300.0,1,48000
699,119.2999,0.0,119.2999,119.2999,0,16000
702,238.5999,0.0,238.5999,238.5999,0,16000
703,172.2,0.0,172.2,172.2,0,16000
705,198.3,0.0,198.3,198.3,0,16000
707,311.4001,5.7,305.7,300.0,1,48000
708,1335.9001,517.95,817.95,300.0,1,16000
709,1067.1001,383.55,683.55,300.0,1,48000
710,322.5999,11.3,311.3,300.0,1,16000
712,1876.0001,788.0001,1088.0001,300.0,1,16000
713,1016.7,358.35,658.35,300.0,1,16000
715,655.7001,177.85,477.85,300.0,1,16000
716,1360.8,530.4,830.4,300.0,1,16000
717,543.1,121.55,421.55,300.0,1,48000
718,776.5999,238.3,538.3,300.0,1,16000
